id;supplier_name;supplier_group;safety_passed;initiator;approver;evaluation_date;stability_score;stability_remarks;sustainability_score;sustainability_remarks;final_score;pass;created_at;status;rejection_reason;stability_details;sustainability_details;business_number
3d95a748-fa41-4a50-a6f3-cb7c85067262;(주)그린포트;E;true;김희진;이민선;2025-11-10;6.00;;90.00;;96.00;true;2025-11-10 23:59:42.984407+00;pending;;"{""conversion"":6,""debt"":1,""equity"":2,""expertise"":4,""liquidity"":5,""totalScore"":60}";"{""conversion"":90,""items"":{""adequatePersonnel"":5,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":5,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":5,""turnoverRate"":5},""totalScore"":100}";5708700155
002be644-dd4f-4688-b80a-cb4f087e0535;주식회사 성광소방;E;true;김희진;이민선;2025-11-11;5.00;;85.00;;90.00;true;2025-11-11 00:03:05.425446+00;pending;;"{""conversion"":5,""debt"":1,""equity"":5,""expertise"":3,""liquidity"":1,""totalScore"":50}";"{""conversion"":85,""items"":{""adequatePersonnel"":5,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":1,""performanceCount"":3,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":5,""turnoverRate"":5},""totalScore"":94}";2818100802
14fa580c-6cca-4773-91ba-18e3527f626d;경원솔루션;G;true;김희진;이민선;2025-11-11;8.00;;86.00;;94.00;true;2025-11-11 00:05:20.457542+00;pending;;"{""conversion"":8,""debt"":5,""equity"":5,""expertise"":1,""liquidity"":5,""totalScore"":80}";"{""conversion"":86,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":1,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":96}";6791701991
b3aeb801-aa93-481c-a9f4-7b52b504ea18;(유)대보;G;true;김희진;이민선;2025-11-11;10.00;;88.00;;98.00;true;2025-11-07 09:49:26.544017+00;pending;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":88,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":3,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":98}";6088120468
23012778-2ced-4abb-8d0c-b1407ce73d1b;용신해운;E;true;김희진;이민선;2025-11-11;10.00;;90.00;;100.00;true;2025-11-11 00:09:56.739708+00;pending;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":90,""items"":{""adequatePersonnel"":5,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":5,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":5,""turnoverRate"":5},""totalScore"":100}";6018124594
22932959-802f-4d6f-907c-65e8c757b400;에이치디씨랩스(주);A;true;장은주;손범신;2025-11-11;10.00;;0.00;;10.00;false;2025-11-11 01:15:21.356929+00;draft;;"{""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5}";"{""items"":{}}";1208193646
e39e27f1-f5d2-491a-997c-84495da55709;주식회사 랜드상사;B;true;이봉균;양혁;2025-11-11;5.00;;90.00;;95.00;true;2025-11-04 07:47:13.580398+00;approved;;"{""conversion"":5,""debt"":1,""equity"":1,""expertise"":3,""liquidity"":5,""totalScore"":50}";"{""conversion"":90,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":100}";5938801547
90bd8c46-2204-4f1d-9717-86975ab53264;주식회사 피앤테크;E;true;김득원;김정욱;2025-11-11;6.00;;90.00;;96.00;true;2025-11-11 00:56:13.189569+00;approved;;"{""conversion"":6,""debt"":2,""equity"":5,""expertise"":3,""liquidity"":1,""totalScore"":55}";"{""conversion"":90,""items"":{""adequatePersonnel"":5,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":5,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":5,""turnoverRate"":5},""totalScore"":100}";6058635502
e2ea3b5c-9911-4713-9654-9026d7689f58;주식회사 아이웍스;E;true;장은주;손범신;2025-11-11;10.00;;81.00;;91.00;true;2025-11-11 02:01:32.334247+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":81,""items"":{""adequatePersonnel"":3,""contractSupport"":4,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":3,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":4,""turnoverRate"":5},""totalScore"":90}";6098193120
d3225829-3518-465f-8e4f-cd9a185beadc;대원종합상사(울산);G;true;이봉균;양혁;2025-11-11;10.00;;86.00;;96.00;true;2025-11-11 08:12:45.283225+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":86,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":3,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":95}";6100231304
590eafb6-4610-4478-8dbf-4520d3f5e176;명성유공압;B;true;이봉균;양혁;2025-11-11;10.00;;86.00;;96.00;true;2025-11-11 08:14:07.169153+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":86,""items"":{""claimFrequency"":3,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":95}";6050979305
491e0bb5-af48-41a0-98f4-5e6f46ff687e;가람지이티;B;true;이봉균;양혁;2025-11-11;9.00;"비채비율 관련, 당해 자료 없음으로 작년 기준으로 평가 함
-작년(24년) 기준, (부채총액(90,000,000)/자기자본(300,000,000)*100=30%";81.00;;90.00;true;2025-11-11 08:11:26.812695+00;approved;;"{""conversion"":9,""debt"":5,""equity"":5,""expertise"":3,""liquidity"":5,""totalScore"":90}";"{""conversion"":81,""items"":{""claimFrequency"":3,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":3,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":3,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":90}";8493900399
92a92369-64ee-46b9-8d65-1c1ff9a85f5d;(주)삼진야드;B;true;이봉균;양혁;2025-11-11;10.00;;86.00;;96.00;true;2025-11-11 08:04:56.539268+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":86,""items"":{""claimFrequency"":3,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":3},""totalScore"":95}";1058177837
a5faa4d0-be41-476e-8c82-8a3187c8c2a5;(주)오경컴텍 부산지사;E;true;장은주;손범신;2025-11-11;10.00;;83.00;;93.00;true;2025-11-11 01:55:59.188783+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":83,""items"":{""adequatePersonnel"":3,""contractSupport"":4,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":5,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":4,""turnoverRate"":5},""totalScore"":92}";6218515947
5a67afd2-9ddf-43ab-8211-ee080df50174;서진인텍;B;true;이동희;양혁;2025-11-11;9.00;;83.00;필요 제작품 제작 시 요구사항을 잘 맞춰주고 개선점/보완점 에 대한 대응을 원활히 잘 수행함.;92.00;true;2025-11-11 07:29:05.509106+00;approved;;"{""conversion"":9,""debt"":5,""equity"":5,""expertise"":3,""liquidity"":4,""totalScore"":85}";"{""conversion"":83,""items"":{""claimFrequency"":3,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":3,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":92.5}";1560501990
77a89cfe-0fef-4be8-a4fc-c8c0a213ae3c;주식회사 선익정밀;B;true;이동희;양혁;2025-11-11;6.00;;86.00;2025년 최초 거래 업체로 각종 지그제작 및 Coupling 제작 등 원활히 수행;92.00;true;2025-11-11 08:02:38.788051+00;approved;;"{""conversion"":6,""debt"":5,""equity"":5,""expertise"":1,""liquidity"":1,""totalScore"":60}";"{""conversion"":86,""items"":{""claimFrequency"":4,""contractSupport"":3,""damagePrevention"":4,""deliveryMgmt"":3,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":95}";8978603273
