id;name;supplier_group;department;created_at;business_number
0c6028c0-a4cd-4bf7-8bb6-9d9287c16249;주식회사 성광소방;E;경영지원팀;2025-10-30 01:46:02.630108+00;2818100802
041ed732-eda4-4a02-99ed-4b1cf20e8e59;(주)스카이오토넷;E;안전보건팀;2025-10-30 01:46:10.507579+00;2648123208
a5bd323f-193f-4bed-8aa9-24b2daa992e3;주식회사 피앤테크;E;안전보건팀;2025-10-30 01:46:18.345451+00;6058635502
7e775978-e5f2-472f-bf6e-95b4f69ed201;(주)용문;E;운영팀;2025-10-30 01:46:26.082115+00;6178120161
1b33f026-6402-4766-9465-914d9f0a626d;신양항업주식회사;E;운영팀;2025-10-30 01:46:33.824995+00;6028148513
f372f333-21df-45a9-b07b-b4514553f8ba;뉴포트마린주식회사;E;운영팀;2025-10-30 01:46:41.670045+00;4278600970
57d5dc79-09d3-4540-b8ce-0b625e0c5d9a;(주)코리아브이익스프레스;E;운영팀;2025-10-30 01:46:49.815421+00;6018119301
5a7e5226-b5c1-4c72-9c00-2ca60cb606d9;(주)피엔피엔지니어링;E;장비팀;2025-10-30 01:46:57.781234+00;6178184490
0e2c7a5c-59ab-4fd9-9823-520ad32ed0ac;수림공조시스템;E;장비팀;2025-10-30 01:47:05.617147+00;6462501598
2705fd7e-87fe-40f3-b2e7-f6cea7432dcd;동화전기（주）;E;장비팀;2025-10-30 01:47:13.474023+00;1288174702
2aee11a0-4726-433a-9432-876f5fa38683;영진종합전기;E;장비팀;2025-10-30 01:47:21.407851+00;6051463224
f531a7bd-2a8e-49f2-9c3b-2385992a2d48;(주)제이알인터내셔널;G;경영지원팀;2025-10-30 01:47:29.46272+00;3668803356
4c28a1a2-ea70-40e2-8065-02d629bf2407;경원솔루션;G;경영지원팀;2025-10-30 01:47:37.220184+00;6791701991
5a8fe09a-8d4d-4b30-b684-d65055fd1018;대일유통(생수);G;경영지원팀;2025-10-30 01:47:45.120438+00;6171788267
940d1fca-d055-4165-a463-9c6b4785d386;부산하우스;G;경영지원팀;2025-10-30 01:47:52.942437+00;6170375033
022248dd-ecee-460e-b237-46eee6f690f7;(유)대보;G;경영지원팀;2025-10-30 01:48:00.801482+00;6088120468
b77f32eb-df43-46af-a46f-23dc6c7679f1;드림디포진해녹산점;G;경영지원팀;2025-10-30 01:48:08.97337+00;6091491023
69073fc9-0161-47b7-a039-1b9aa5ff92db;(주)아이테드;G;안전보건팀;2025-10-30 01:48:16.839636+00;7668800409
30b2d371-46f5-412f-b4e5-008f0e28f386;대성종합상사;G;안전보건팀;2025-10-30 01:48:24.741089+00;6063278345
a5ff9b2a-692f-456b-8f22-cb7bf410d76a;플러스안전;G;안전보건팀;2025-10-30 01:48:32.60074+00;6063257073
a755ace7-70fb-4af6-9dc1-b0dde3965a3d;대원종합상사(울산);G;장비팀;2025-10-30 01:48:40.652595+00;6100231304
7cead1bc-9ee2-4c22-80ad-e1b88824da6a;용신해운;E;경영지원팀;2025-11-10 00:47:26.923973+00;6018124594
aed9ee02-1c68-4e42-bd4f-304bddbc8c0b;주식회사 용신;E;운영팀;2025-10-30 01:45:07.020462+00;6028129122
